start_station_name,num_starts
"Serpentine Car Park, Hyde Park",74903
"Speakers' Corner 1, Hyde Park",85835
"Queen Street 2, Bank",51658
"Teviot Street, Poplar",3885
"Wandsworth Rd, Isley Court, Wandsworth Road",21610
"Gunmakers Lane, Old Ford",25897
"Wright's Lane, Kensington",51118
"Somerset House, Strand",46149
"Triangle Car Park, Hyde Park",108347
"Aquatic Centre, Queen Elizabeth Olympic Park",54824
"Farm Street, Mayfair",14153
"Wood Street, Guildhall",26075
"Southwark Station 2, Southwark",49303
"Broadwick Street, Soho",34835
"Park Lane , Hyde Park",61415
"Abbotsbury Road, Holland Park",9834
"Bromley High Street, Bow",7720
"Tower Gardens , Tower",68561
"Claverton Street, Pimlico",23255
"Waterloo Place, St. James's",43673
"Upper Richmond Road, Putney",7729
"St. John's Road, Clapham Junction",20244
"New Kent Road, Borough",2236
"Handyside Street, King's Cross",7234
"Prince Albert Road, The Regent's Park",29975
"North Audley Street, Mayfair",30177
"Frampton Street, Paddington",16124
"Green Park Station, Mayfair",72126
"London Zoo,  The Regent's Park",21583
"Queen's Gate, Kensington Gardens",67596
"Porchester Place, Paddington",37543
"Newby Place, Poplar",7564
"William IV Street, Strand",74550
"Elizabeth Bridge, Victoria",47226
"Bramham Gardens, Earl's Court",39121
"Fournier Street, Whitechapel",42766
"Park Road (Baker Street), The Regent's Park",41131
"Seville Street, Knightsbridge",38386
"Eaton Square, Belgravia",24742
"Little Argyll Street, West End",67660
"Knightsbridge, Hyde Park",34848
"Belford House, Haggerston",18531
"Leonard Circus , Shoreditch",65014
"Richmond Way, Shepherd's Bush",20799
"Vauxhall Cross, Vauxhall",66349
"Harrowby Street, Marylebone",18843
"Shoreditch High Street, Shoreditch",84286
"Austin Road, Battersea Park",22631
"Hyde Park Corner, Hyde Park",215629
"Bolsover Street, Fitzrovia",44379
"Canton Street, Poplar",11279
"Goldsmith's Row, Haggerston",29476
"Finsbury Circus, Liverpool Street",105810
"Paddington Green Police Station, Paddington",14822
"Tyers Gate, Bermondsey",24164
"Fulham Broadway, Walham Green",61702
"Dock Street, Wapping",12291
"The Tennis Courts, The Regent's Park",29574
"Usk Road, Battersea",1222
"Tanner Street, Bermondsey",42007
"Arlington Road, Camden Town",25753
"Wendon Street, Old Ford",16266
"Embankment (Savoy), Strand",30759
"Clerkenwell Green, Clerkenwell",55092
"Westminster Bridge Road, Elephant & Castle",9565
"Eagle Wharf Road, Hoxton",69753
"Rainville Road, Hammersmith",25187
"Storey's Gate, Westminster",75946
"Bishop's Bridge Road West, Bayswater",30374
"Beaumont Street, Marylebone",33288
"Flood Street, Chelsea",51631
